kabupaten,bulan,tahun,alokasi_urea,distribusi_urea,alokasi_NPK,distribusi_NPK,curah_hujan,suhu,luas_panen_padi,produksi_padi_ton,luas_panen_jagung,produksi_jagung_ton,luas_panen_kedelai,produksi_kedelai_ton,bulan_num,rasio_realisasi_urea,rasio_realisasi_NPK,produktivitas_padi,produktivitas_jagung,produktivitas_kedelai,luas_panen_total,produksi_total_ton,tipe_wilayah_encoded,kuartal,kabupaten_encoded
Blitar,November,2023,31352,27777.0,25370,22482.8,2.83,26.65,8360,47819,2388,14851,84.75,149.37,11,0.8859721867823425,0.8861962948364209,5.719976076555024,6.219011725293132,1.7624778761061948,10832.75,62819.37,0,4,68543.33291666667
Blitar,Desember,2023,31352,30163.0,25370,24242.2,3.27,26.36,8360,47735,2265,14289,8.69,15.06,12,0.9620757846389385,0.9555459203783997,5.7099282296650715,6.308609271523179,1.7330264672036826,10633.69,62039.06,0,4,68543.33291666667
Blitar,Januari,2024,20086,72.8,16417,54.9,9.85,25.79,8485,49467,2881,18094,13.34,23.24,1,0.003624415015433635,0.00334409453615155,5.829935179728934,6.280458174245053,1.7421289355322338,11379.34,67584.24,0,1,68543.33291666667
Blitar,Februari,2024,20086,2076.0,16417,1444.7,11.17,25.91,8485,49382,5006,31841,13.19,22.98,2,0.10335557104450861,0.08800024364987513,5.819917501473188,6.36056731921694,1.7422289613343442,13504.19,81245.98,0,1,68543.33291666667
Blitar,Maret,2024,20086,4404.6,16417,3435.6,7.62,26.11,10413,60499,4031,25155,19.25,34.12,3,0.21928706561784328,0.20927087774867514,5.809949102083934,6.240387000744232,1.7724675324675323,14463.25,85688.12,0,1,68543.33291666667
Blitar,April,2024,34334,5518.3,35090,4388.1,7.4,26.02,10413,60395,2560,16332,31.99,56.7,4,0.16072406361041533,0.12505272157309777,5.799961586478441,6.3796875,1.7724288840262583,13004.99,76783.7,0,2,68543.33291666667
Blitar,Mei,2024,34334,8432.5,35090,6678.4,1.41,25.82,6556,37959,2969,18851,70.92,125.7,5,0.24560202714510398,0.19032202906811055,5.789963392312385,6.349275850454698,1.772419627749577,9595.92,56935.7,0,2,68543.33291666667
Blitar,Juni,2024,34334,11829.2,35090,9490.9,0.88,25.78,6556,37893,3634,22824,130.96,232.12,6,0.34453311586182794,0.2704730692504987,5.779896278218426,6.280682443588333,1.772449602932193,10320.96,60949.12,0,2,68543.33291666667
Blitar,Juli,2024,34334,15470.3,35090,13414.3,0.78,24.89,6556,37828,3048,19082,191.56,352.94,7,0.45058251296091334,0.38228270162439437,5.769981696156193,6.260498687664042,1.8424514512424306,9795.56,57262.94,0,3,68543.33291666667
Blitar,Agustus,2024,34334,18969.2,35090,17846.5,0.32,24.77,6556,37762,2667,16565,230.04,423.84,8,0.5524902429079047,0.508592191507552,5.759914582062233,6.211098612673416,1.8424621804903494,9453.04,54750.84,0,3,68543.33291666667
Blitar,September,2024,34334,22597.0,35090,22629.6,1.77,25.71,10413,59874,2991,18960,308.26,567.97,9,0.6581522688879827,0.6449016813907096,5.7499279746470755,6.33901705115346,1.8425030818140533,13712.26,79401.97,0,3,68543.33291666667
Blitar,Oktober,2024,34334,26212.1,35090,27472.1,2.67,26.19,10413,59770,2532,16077,190.61,351.19,10,0.7634443991378808,0.7829039612425192,5.739940459041582,6.349526066350711,1.8424531766434078,13135.61,76198.19,0,4,68543.33291666667
Blitar,November,2024,34334,29446.5,35090,31572.8,14.39,25.57,8485,48619,2284,14204,63.13,111.89,11,0.8576483951767927,0.8997663151895127,5.729994107248085,6.218914185639229,1.77237446538888,10832.13,62934.89,0,4,68543.33291666667
Blitar,Desember,2024,34334,32467.6,35090,34407.4,15.54,25.38,8485,48534,2162,13661,6.49,11.31,12,0.9456398904875633,0.9805471644343118,5.719976428992339,6.318686401480111,1.7426810477657935,10653.49,62206.31,0,4,68543.33291666667
Bojonegoro,Januari,2023,62360,2854.2,33591,1542.0,7.42,26.04,6578,37494,3335,21011,23.33,37.11,1,0.045769724182168056,0.04590515316602661,5.699908786865309,6.3001499250374815,1.5906558079725677,9936.33,58542.11,0,1,59115.90583333333
Bojonegoro,Februari,2023,62360,10039.6,33591,5677.8,12.79,25.71,6578,37428,5875,37483,23.23,36.94,2,0.16099422706863376,0.1690274180584085,5.689875342049255,6.380085106382979,1.5901851054670684,12476.23,74947.94,0,1,59115.90583333333
Bojonegoro,Maret,2023,62360,19238.0,33591,10631.2,11.87,26.12,8073,45854,4477,28426,35.17,57.0,3,0.3084990378447723,0.31648953588758894,5.679920723398984,6.349341076613804,1.6206994597668467,12585.17,74337.0,0,1,59115.90583333333
Bojonegoro,April,2023,62360,23479.4,33591,13079.8,8.07,26.53,8073,45773,2924,18449,60.72,98.4,4,0.3765137908915972,0.38938406120687086,5.669887278582931,6.309507523939809,1.6205533596837947,11057.72,64320.4,0,2,59115.90583333333
